# Тварини (Animals) - Ukrainian word bank for Alias game
# Format: word|difficulty (easy, medium, hard)

# Easy - Common domestic and farm animals
кіт|easy
собака|easy
корова|easy
кінь|easy
свиня|easy
вівця|easy
коза|easy
курка|easy
качка|easy
риба|easy
птах|easy
миша|easy
заєць|easy
ведмідь|easy
вовк|easy
лисиця|easy
їжак|easy
білка|easy
жаба|easy
змія|easy

# Medium - Less common animals
кролик|medium
півень|medium
гуска|medium
індик|medium
олень|medium
лось|medium
кабан|medium
бобер|medium
видра|medium
куниця|medium
соболь|medium
борсук|medium
черепаха|medium
горобець|medium
ворона|medium
сорока|medium
дятел|medium
сова|medium
яструб|medium
орел|medium
лебідь|medium
журавель|medium
чапля|medium
дельфін|medium
кит|medium
акула|medium
восьминіг|medium
краб|medium
медуза|medium
пінгвін|medium

# Hard - Exotic, rare, or complex animals
кенгуру|hard
коала|hard
панда|hard
жираф|hard
зебра|hard
носоріг|hard
бегемот|hard
крокодил|hard
леопард|hard
гепард|hard
пантера|hard
горила|hard
шимпанзе|hard
орангутанг|hard
слон|hard
верблюд|hard
лама|hard
альпака|hard
страус|hard
павич|hard
колібрі|hard
папуга|hard
тукан|hard
какаду|hard
фламінго|hard
пелікан|hard
альбатрос|hard
морж|hard
тюлень|hard
бурундук|hard
капібара|hard
броненосець|hard
лемур|hard
сурикат|hard
мангуст|hard
антилопа|hard
газель|hard
буйвол|hard
бізон|hard
гієна|hard
шакал|hard
рись|hard
пума|hard
ягуар|hard
оцелот|hard
тапір|hard
вомбат|hard
ехидна|hard
качкодзьоб|hard
аксолотль|hard
ігуана|hard
хамелеон|hard
анаконда|hard
кобра|hard
пітон|hard
манта|hard
барак уда|hard
морський коник|hard
морська зірка|hard
каракатиця|hard
омар|hard
лангуст|hard
