# Місця (Places) - Ukrainian word bank for Alias game
# Format: word|difficulty (easy, medium, hard)

# Easy - Common everyday places
дім|easy
школа|easy
клас|easy
парк|easy
сад|easy
двір|easy
вулиця|easy
дорога|easy
площа|easy
магазин|easy
ринок|easy
кафе|easy
ресторан|easy
кінотеатр|easy
театр|easy
лікарня|easy
аптека|easy
бібліотека|easy
музей|easy
церква|easy
пошта|easy
банк|easy
готель|easy
вокзал|easy
аеропорт|easy
порт|easy
пляж|easy
ліс|easy
поле|easy
річка|easy
озеро|easy
море|easy
гора|easy
долина|easy
село|easy
місто|easy
країна|easy
світ|easy
планета|easy

# Medium - Less common places
університет|medium
інститут|medium
коледж|medium
гімназія|medium
ліцей|medium
дитсадок|medium
ясла|medium
майданчик|medium
стадіон|medium
спортзал|medium
басейн|medium
корт|medium
каток|medium
трамплін|medium
ринг|medium
арена|medium
амфітеатр|medium
цирк|medium
зоопарк|medium
акваріум|medium
планетарій|medium
обсерваторія|medium
лабораторія|medium
кабінет|medium
офіс|medium
склад|medium
цех|medium
фабрика|medium
завод|medium
ферма|medium
ранчо|medium
плантація|medium
виноградник|medium
пасовище|medium
луг|medium
болото|medium
джунглі|medium
саван а|medium
пустеля|medium
оазис|medium
ущелина|medium
каньйон|medium
печера|medium
грот|medium
бухта|medium
затока|medium
протока|medium
архіпелаг|medium
півострів|medium
мис|medium
острів|medium

# Hard - Rare or complex places
капелла|hard
собор|hard
базиліка|hard
мечеть|hard
синагога|hard
пагода|hard
ступа|hard
храм|hard
святиня|hard
монастир|hard
скит|hard
обитель|hard
єрмітаж|hard
ермітаж|hard
фортеця|hard
бастіон|hard
цитадель|hard
редут|hard
форт|hard
замок|hard
палац|hard
резиденція|hard
маєток|hard
садиба|hard
віла|hard
котедж|hard
бунгало|hard
шале|hard
хатинка|hard
халупа|hard
барак|hard
лачуга|hard
хижа|hard
саркофаг|hard
склеп|hard
мавзолей|hard
усипальниця|hard
некрополь|hard
кладовище|hard
пантеон|hard
меморіал|hard
кенотаф|hard
стела|hard
обеліск|hard
монумент|hard
пам'ятник|hard
консерваторія|hard
філармонія|hard
одеон|hard
колізей|hard
колосеум|hard
іподром|hard
велодром|hard
трек|hard
автодром|hard
картодром|hard
