# Дії (Actions) - Ukrainian word bank for Alias game
# Format: word|difficulty (easy, medium, hard)

# Easy - Common everyday actions
бігти|easy
ходити|easy
стояти|easy
сидіти|easy
лежати|easy
стрибати|easy
їсти|easy
пити|easy
спати|easy
прокидатися|easy
мити|easy
чистити|easy
прибирати|easy
готувати|easy
варити|easy
смажити|easy
різати|easy
мішати|easy
читати|easy
писати|easy
малювати|easy
співати|easy
танцювати|easy
грати|easy
дивитися|easy
слухати|easy
говорити|easy
кричати|easy
шептати|easy
сміятися|easy
плакати|easy
думати|easy
мріяти|easy
любити|easy
ненавидіти|easy
боятися|easy
радіти|easy
сумувати|easy
працювати|easy
відпочивати|easy

# Medium - Less common actions
підстрибувати|medium
присідати|medium
кульгати|medium
повзти|medium
плавати|medium
пірнати|medium
летіти|medium
ковзати|medium
падати|medium
вставати|medium
лягати|medium
нахилятися|medium
повертатися|medium
крутитися|medium
обертатися|medium
підніматися|medium
спускатися|medium
підходити|medium
віддалятися|medium
наближатися|medium
переслідувати|medium
тікати|medium
ховатися|medium
шукати|medium
знаходити|medium
губити|medium
тримати|medium
пускати|medium
кидати|medium
ловити|medium
торкатися|medium
штовхати|medium
тягти|medium
піднімати|medium
опускати|medium
ламати|medium
будувати|medium
ремонтувати|medium
налагоджувати|medium
досліджувати|medium
вивчати|medium
навчати|medium
вчитися|medium
запам'ятовувати|medium
забувати|medium
згадувати|medium
уявляти|medium
порівнювати|medium
вирішувати|medium
розв'язувати|medium

# Hard - Complex or specialized actions
прокрастинувати|hard
медитувати|hard
концентруватися|hard
абстрагуватися|hard
інтерпретувати|hard
аналізувати|hard
синтезувати|hard
класифікувати|hard
категоризувати|hard
систематизувати|hard
узагальнювати|hard
конкретизувати|hard
деталізувати|hard
специфікувати|hard
ідентифікувати|hard
диференціювати|hard
корелювати|hard
екстраполювати|hard
інтерполювати|hard
апроксимувати|hard
оптимізувати|hard
максимізувати|hard
мінімізувати|hard
нормалізувати|hard
стандартизувати|hard
уніфікувати|hard
диверсифікувати|hard
спеціалізуватися|hard
універсалізувати|hard
індивідуалізувати|hard
персоналізувати|hard
кастомізувати|hard
модифікувати|hard
трансформувати|hard
модернізувати|hard
реконструювати|hard
реорганізувати|hard
реструктуризувати|hard
рекомбінувати|hard
декомпозувати|hard
дезінтегрувати|hard
консолідувати|hard
інтегрувати|hard
координувати|hard
синхронізувати|hard
гармонізувати|hard
балансувати|hard
стабілізувати|hard
дестабілізувати|hard
нейтралізувати|hard
активізувати|hard
стимулювати|hard
інгібувати|hard
каталізувати|hard
ферментувати|hard
дистилювати|hard
сублімувати|hard
кристалізувати|hard
полімеризувати|hard
окислювати|hard
