# Предмети (Objects) - Ukrainian word bank for Alias game
# Format: word|difficulty (easy, medium, hard)

# Easy - Common everyday objects
стілець|easy
стіл|easy
ліжко|easy
книга|easy
ручка|easy
олівець|easy
зошит|easy
папір|easy
телефон|easy
комп'ютер|easy
телевізор|easy
годинник|easy
двері|easy
вікно|easy
лампа|easy
сумка|easy
рюкзак|easy
окуляри|easy
капелюх|easy
парасолька|easy
ключ|easy
гаманець|easy
дзеркало|easy
гребінець|easy
щітка|easy
рушник|easy
мило|easy
тарілка|easy
чашка|easy
ложка|easy
виделка|easy
ніж|easy
пляшка|easy
склянка|easy
каструля|easy
сковорода|easy
холодильник|easy
плита|easy
духовка|easy
мікрохвильовка|easy

# Medium - Less common objects
підручник|medium
словник|medium
атлас|medium
глобус|medium
калькулятор|medium
клавіатура|medium
миша|medium
монітор|medium
принтер|medium
сканер|medium
динамік|medium
навушники|medium
мікрофон|medium
камера|medium
фотоапарат|medium
відеокамера|medium
флешка|medium
диск|medium
батарейка|medium
зарядка|medium
розетка|medium
вимикач|medium
торшер|medium
абажур|medium
свічка|medium
ліхтарик|medium
компас|medium
карта|medium
рюкзак|medium
валіза|medium
намет|medium
спальник|medium
термос|medium
котелок|medium
сокира|medium
ліхтар|medium
бінокль|medium
підзорна труба|medium
лупа|medium
лінійка|medium
транспортир|medium
циркуль|medium
степлер|medium
дирокол|medium
кнопка|medium
скріпка|medium
файл|medium
папка|medium
коробка|medium
пакет|medium
шнур|medium
кабель|medium
перемикач|medium

# Hard - Specialized or technical objects
телескоп|hard
мікроскоп|hard
стетоскоп|hard
секстант|hard
астролябія|hard
квадрант|hard
барометр|hard
гігрометр|hard
термометр|hard
манометр|hard
вольтметр|hard
амперметр|hard
омметр|hard
осцилограф|hard
спектрометр|hard
хроматограф|hard
центрифуга|hard
автоклав|hard
інкубатор|hard
мензурка|hard
піпетка|hard
бюретка|hard
колба|hard
пробірка|hard
чашка Петрі|hard
предметне скло|hard
покривне скло|hard
шпатель|hard
пінцет|hard
скальпель|hard
катетер|hard
шприц|hard
голка|hard
корсет|hard
протез|hard
інгалятор|hard
небулайзер|hard
апарат ШВЛ|hard
дефібрилятор|hard
електрокардіограф|hard
ехокардіограф|hard
томограф|hard
рентген|hard
ультразвук|hard
ендоскоп|hard
лапароскоп|hard
бронхоскоп|hard
гастроскоп|hard
колоноскоп|hard
офтальмоскоп|hard
отоскоп|hard
